 1000  5.0000E+02
    i  x                       den                     ener                    pres                    vel                     cs
  102  1.0110110110110110E-01  1.5818012893772295E-01  1.2963842749218751E-03  1.3670815450665246E-04  4.8528546159964685E-05  3.7952957356909841E-02
  103  1.0210210210210210E-01  1.6535089494595163E-01  1.2401641359760856E-03  1.3670816650901240E-04  4.9009027992613389E-05  3.7120885645207061E-02
  104  1.0310310310310310E-01  1.7277198528468741E-01  1.1868953663209172E-03  1.3670817917630746E-04  4.9489509914231167E-05  3.6314909186799073E-02
  105  1.0410410410410410E-01  1.8044958053900762E-01  1.1363965945226473E-03  1.3670819253837895E-04  4.9969991929722055E-05  3.5533968013760319E-02
  106  1.0510510510510511E-01  1.8838995197402105E-01  1.0884991889982936E-03  1.3670820662609961E-04  5.0450474044209075E-05  3.4777054839814102E-02
  107  1.0610610610610611E-01  1.9659946197506215E-01  1.0430462532654820E-03  1.3670822147139879E-04  5.0930956263041765E-05  3.4043211972522381E-02
  108  1.0710710710710711E-01  2.0508456448584668E-01  9.9989170893982092E-04  1.3670823710728810E-04  5.1411438591803900E-05  3.3331528433465397E-02
  109  1.0810810810810811E-01  2.1385180544462211E-01  9.5889945808726305E-04  1.3670825356788731E-04  5.1891921036321383E-05  3.2641137270615760E-02
  110  1.0910910910910911E-01  2.2290782321834556E-01  9.1994261741011491E-04  1.3670827088845067E-04  5.2372403602670343E-05  3.1971213048444325E-02
  111  1.1011011011011011E-01  2.3225934903492144E-01  8.8290281751912706E-04  1.3670828910539366E-04  5.2852886297185410E-05  3.1320969502504355E-02
  112  1.1111111111111111E-01  2.4191320741353041E-01  8.4766956123211096E-04  1.3670830825631999E-04  5.3333369126468192E-05  3.0689657346338667E-02
  113  1.1211211211211211E-01  2.5187631659308094E-01  8.1413963545196098E-04  1.3670832838004909E-04  5.3813852097395944E-05  3.0076562219552676E-02
  114  1.1311311311311311E-01  2.6215568895881402E-01  7.8221657172269960E-04  1.3670834951664393E-04  5.4294335217130438E-05  2.9481002766804472E-02
  115  1.1411411411411411E-01  2.7275843146709134E-01  7.5181015104898712E-04  1.3670837170743917E-04  5.4774818493127038E-05  2.8902328838290046E-02
  116  1.1511511511511512E-01  2.8369174606839672E-01  7.2283594899925323E-04  1.3670839499506982E-04  5.5255301933143972E-05  2.8339919803055455E-02
  117  1.1611611611611612E-01  2.9496293012858022E-01  6.9521491750119004E-04  1.3670841942350012E-04  5.5735785545251824E-05  2.7793182967155215E-02
  118  1.1711711711711712E-01  3.0657937684837382E-01  6.6887300008603680E-04  1.3670844503805298E-04  5.6216269337843219E-05  2.7261552089303696E-02
  119  1.1811811811811812E-01  3.1854857568120753E-01  6.4374077764949448E-04  1.3670847188543959E-04  5.6696753319642739E-05  2.6744485987239698E-02
  120  1.1911911911911912E-01  3.3087811274935398E-01  6.1975314207628827E-04  1.3670850001378968E-04  5.7177237499717042E-05  2.6241467228548541E-02
  121  1.2012012012012012E-01  3.4357567125842964E-01  5.9684899532592158E-04  1.3670852947268190E-04  5.7657721887485209E-05  2.5752000900165702E-02
  122  1.2112112112112112E-01  3.5664903191028030E-01  5.7497097180218460E-04  1.3670856031317481E-04  5.8138206492729300E-05  2.5275613451225288E-02
  123  1.2212212212212212E-01  3.7010607331427812E-01  5.5406518203127845E-04  1.3670859258783814E-04  5.8618691325605149E-05  2.4811851604319132E-02
  124  1.2312312312312312E-01  3.8395477239705746E-01  5.3408097585544745E-04  1.3670862635078445E-04  5.9099176396653378E-05  2.4360281330601516E-02
  125  1.2412412412412412E-01  3.9820320481071627E-01  5.1497072351295484E-04  1.3670866165770127E-04  5.9579661716810638E-05  2.3920486884513285E-02
  126  1.2512512512512513E-01  4.1285954533950970E-01  4.9668961312301584E-04  1.3670869856588353E-04  6.0060147297421091E-05  2.3492069894210303E-02
